Z=0.020000,Y=0.270,000 OS=0,.20 l/Hp,1.7432,01 [Fe/,H]= 0.0,46320 [,Alpha/F,e]= 0.00,,
M/Msun,logT,logL/Ls,logg,Mv,U-B,B-V,V-R,V-I,#(x=-1),#(x=1.35),#(x=3)
age(Gyr)=,0.001  3,5 points,,,,,,,,,
1.2693632,3.8071,0.3566,4.3653,3.872,0.006,0.459,0.268,0.53,3.81E+01,9.48E+00,3.14E+00
1.2882678,3.8106,0.3894,4.3529,3.787,0.003,0.446,0.262,0.517,3.87E+01,9.29E+00,3.01E+00
1.308026,3.8141,0.4223,4.3406,3.701,0.001,0.434,0.255,0.505,4.05E+01,9.38E+00,2.96E+00
1.3287584,3.8176,0.4547,4.3291,3.617,0.001,0.422,0.248,0.492,4.14E+01,9.24E+00,2.84E+00
1.3493818,3.8211,0.487,4.3175,3.533,0.002,0.41,0.242,0.48,4.15E+01,8.94E+00,2.68E+00
1.3702289,3.8245,0.5198,4.3049,3.448,0.004,0.398,0.236,0.468,4.17E+01,8.67E+00,2.54E+00
1.3911143,3.828,0.5526,4.2927,3.363,0.007,0.387,0.229,0.455,4.19E+01,8.41E+00,2.40E+00
1.4121309,3.8316,0.5835,4.2827,3.284,0.01,0.376,0.222,0.442,4.22E+01,8.17E+00,2.28E+00
1.4333286,3.8353,0.6133,4.2742,3.207,0.014,0.364,0.216,0.429,4.27E+01,7.98E+00,2.17E+00
1.4548251,3.8389,0.6436,4.2647,3.128,0.019,0.353,0.209,0.417,4.29E+01,7.75E+00,2.05E+00
1.4762512,3.8426,0.6737,4.2558,3.051,0.024,0.342,0.203,0.404,4.33E+01,7.55E+00,1.95E+00
1.4980965,3.8462,0.7044,4.2459,2.972,0.029,0.331,0.196,0.391,4.25E+01,7.17E+00,1.81E+00
1.5187581,3.8503,0.7311,4.2415,2.903,0.035,0.319,0.189,0.377,4.14E+01,6.76E+00,1.67E+00
1.5394872,3.8543,0.7575,4.237,2.835,0.043,0.308,0.182,0.364,4.14E+01,6.55E+00,1.58E+00
1.5601969,3.8584,0.784,4.2327,2.766,0.052,0.297,0.175,0.35,4.19E+01,6.41E+00,1.51E+00
1.5813407,3.8624,0.811,4.2275,2.697,0.063,0.285,0.168,0.336,4.25E+01,6.30E+00,1.46E+00
1.602667,3.8663,0.8381,4.2219,2.627,0.073,0.275,0.161,0.322,4.29E+01,6.17E+00,1.39E+00
1.6242213,3.8703,0.8636,4.2182,2.562,0.082,0.264,0.154,0.309,4.32E+01,6.02E+00,1.33E+00
1.6458276,3.8743,0.8892,4.2143,2.497,0.09,0.253,0.147,0.295,4.42E+01,5.97E+00,1.29E+00
1.6684429,3.8782,0.9162,4.2088,2.429,0.097,0.242,0.14,0.282,4.53E+01,5.93E+00,1.25E+00
1.6911073,3.8822,0.9432,4.2037,2.362,0.104,0.231,0.133,0.269,4.65E+01,5.89E+00,1.22E+00
1.7149165,3.886,0.9705,4.1977,2.293,0.111,0.22,0.126,0.256,4.86E+01,5.95E+00,1.20E+00
1.7396569,3.8898,0.9984,4.1912,2.224,0.118,0.21,0.12,0.243,4.97E+01,5.90E+00,1.16E+00
1.764627,3.8935,1.0265,4.1841,2.154,0.123,0.199,0.113,0.231,5.01E+01,5.75E+00,1.11E+00
1.7897952,3.8972,1.055,4.1765,2.083,0.127,0.189,0.107,0.219,5.15E+01,5.72E+00,1.08E+00
1.8161742,3.9008,1.084,4.1683,2.012,0.13,0.178,0.1,0.207,5.40E+01,5.78E+00,1.06E+00
1.8437588,3.9043,1.1136,4.1592,1.939,0.132,0.168,0.094,0.196,5.55E+01,5.74E+00,1.03E+00
1.8716243,3.9077,1.1438,4.1491,1.866,0.133,0.158,0.089,0.185,5.59E+01,5.58E+00,9.76E-01
1.8996618,3.9111,1.1744,4.1386,1.792,0.133,0.148,0.083,0.174,5.89E+01,5.68E+00,9.68E-01
1.930525,3.9143,1.2063,4.1265,1.716,0.133,0.139,0.077,0.164,6.23E+01,5.78E+00,9.61E-01
1.961933,3.9174,1.239,4.1132,1.638,0.133,0.129,0.072,0.155,6.40E+01,5.72E+00,9.26E-01
1.9945423,3.9203,1.2733,4.0977,1.556,0.132,0.12,0.067,0.146,6.67E+01,5.73E+00,9.02E-01
2.0286093,3.9231,1.3085,4.081,1.472,0.131,0.111,0.063,0.137,6.97E+01,5.76E+00,8.81E-01
2.0642084,3.9257,1.3455,4.062,1.384,0.13,0.103,0.058,0.129,7.24E+01,5.74E+00,8.54E-01
2.1009709,3.9281,1.3841,4.0406,1.291,0.129,0.095,0.054,0.122,7.91E+01,6.01E+00,8.68E-01
2.143283,3.93,1.4264,4.0146,1.189,0.128,0.088,0.051,0.116,8.91E+01,6.46E+00,9.03E-01
2.1900335,3.9313,1.4737,3.9819,1.072,0.128,0.082,0.048,0.111,1.01E+02,6.99E+00,9.42E-01
2.2447571,3.9316,1.5276,3.9399,0.937,0.13,0.078,0.047,0.109,1.03E+02,6.72E+00,8.71E-01
2.2929075,3.9303,1.5749,3.8966,0.814,0.134,0.077,0.047,0.111,8.86E+01,5.50E+00,6.89E-01
2.3333492,3.928,1.614,3.8559,0.709,0.14,0.079,0.049,0.115,7.44E+01,4.44E+00,5.40E-01
2.3673379,3.9249,1.6467,3.8171,0.619,0.147,0.084,0.051,0.122,6.29E+01,3.62E+00,4.30E-01
2.3962408,3.9213,1.6746,3.7801,0.54,0.155,0.089,0.055,0.13,5.49E+01,3.07E+00,3.58E-01
2.4222711,3.9172,1.6986,3.7443,0.471,0.163,0.097,0.06,0.139,4.88E+01,2.66E+00,3.04E-01
2.4449995,3.9127,1.7193,3.7097,0.41,0.172,0.106,0.065,0.15,4.30E+01,2.29E+00,2.58E-01
2.46528,3.908,1.7377,3.6761,0.355,0.179,0.116,0.071,0.162,3.86E+01,2.02E+00,2.24E-01
2.4835645,3.903,1.7541,3.6429,0.307,0.184,0.127,0.077,0.175,3.52E+01,1.81E+00,1.98E-01
2.5004649,3.8979,1.7693,3.6102,0.262,0.186,0.138,0.084,0.188,3.36E+01,1.70E+00,1.84E-01
2.5171451,3.8927,1.7838,3.5778,0.22,0.186,0.15,0.091,0.201,3.40E+01,1.69E+00,1.81E-01
2.5344161,3.8877,1.8003,3.5443,0.174,0.186,0.163,0.098,0.214,3.89E+01,1.90E+00,2.02E-01
2.5560469,3.8868,1.8303,3.5144,0.096,0.188,0.163,0.098,0.216,2.72E+01,1.31E+00,1.38E-01
2.5616596,3.8923,1.8466,3.521,0.059,0.191,0.147,0.089,0.2,8.93E+00,4.27E-01,4.45E-02
2.564977,3.8979,1.8598,3.5308,0.031,0.192,0.131,0.081,0.184,4.78E+00,2.28E-01,2.37E-02
2.5664414,3.9036,1.8707,3.543,0.011,0.191,0.116,0.073,0.168,2.43E+00,1.15E-01,1.20E-02
2.5674041,3.9093,1.8812,3.5554,-0.008,0.186,0.101,0.065,0.153,1.61E+00,7.67E-02,7.96E-03
2.5680555,3.915,1.8916,3.5679,-0.024,0.178,0.087,0.057,0.139,1.12E+00,5.31E-02,5.50E-03
2.5685211,3.9207,1.9025,3.5799,-0.039,0.166,0.073,0.05,0.124,8.00E-01,3.80E-02,3.94E-03
2.568855,3.9264,1.9142,3.5911,-0.054,0.153,0.06,0.043,0.111,5.96E-01,2.83E-02,2.93E-03
2.5691171,3.9321,1.9264,3.6017,-0.07,0.14,0.048,0.037,0.097,4.54E-01,2.15E-02,2.23E-03
2.5693088,3.9377,1.9396,3.6109,-0.087,0.126,0.036,0.031,0.085,3.65E-01,1.73E-02,1.80E-03
2.5694825,3.9434,1.953,3.6204,-0.101,0.108,0.025,0.025,0.073,5.08E-01,2.41E-02,2.50E-03
2.5698164,3.9471,1.9555,3.6327,-0.093,0.096,0.018,0.022,0.065,4.32E-01,2.05E-02,2.12E-03
2.5699145,3.9414,1.9423,3.6231,-0.081,0.114,0.029,0.027,0.077,1.96E-01,9.31E-03,9.65E-04
2.5700128,3.9357,1.9306,3.6121,-0.07,0.131,0.04,0.033,0.089,1.98E-01,9.36E-03,9.70E-04
2.570112,3.9299,1.9287,3.5908,-0.082,0.146,0.052,0.039,0.102,2.01E-01,9.52E-03,9.86E-04
2.5702136,3.9241,1.9272,3.5691,-0.093,0.159,0.063,0.045,0.115,2.22E-01,1.05E-02,1.09E-03
2.5703343,3.9184,1.9301,3.5434,-0.114,0.173,0.076,0.052,0.129,2.53E-01,1.20E-02,1.24E-03
2.5704668,3.9126,1.9334,3.5169,-0.135,0.184,0.089,0.059,0.143,2.81E-01,1.33E-02,1.38E-03
2.5706153,3.9068,1.9371,3.4901,-0.154,0.192,0.102,0.066,0.157,3.17E-01,1.50E-02,1.55E-03
2.5707833,3.901,1.9402,3.4638,-0.17,0.197,0.116,0.074,0.172,3.48E-01,1.65E-02,1.71E-03
2.5709631,3.8952,1.9426,3.4382,-0.183,0.198,0.13,0.082,0.187,3.71E-01,1.76E-02,1.82E-03
2.5711539,3.8894,1.9443,3.4134,-0.194,0.198,0.146,0.09,0.202,3.97E-01,1.88E-02,1.95E-03
2.5713605,3.8836,1.945,3.3895,-0.2,0.198,0.162,0.098,0.218,4.27E-01,2.02E-02,2.09E-03
2.5715813,3.8778,1.9448,3.3665,-0.204,0.196,0.178,0.107,0.235,4.56E-01,2.16E-02,2.24E-03
2.5718169,3.872,1.9438,3.3444,-0.204,0.192,0.194,0.116,0.251,4.72E-01,2.24E-02,2.31E-03
2.5720537,3.8662,1.9424,3.3226,-0.202,0.185,0.21,0.125,0.269,6.35E-01,3.01E-02,3.11E-03
2.5724522,3.8565,1.9391,3.2872,-0.195,0.166,0.238,0.14,0.298,7.93E-01,3.75E-02,3.88E-03
2.5728464,3.8469,1.9347,3.2532,-0.186,0.146,0.265,0.156,0.329,7.74E-01,3.66E-02,3.78E-03
2.5732259,3.8372,1.9293,3.2199,-0.173,0.131,0.293,0.172,0.36,7.40E-01,3.50E-02,3.62E-03
2.5735866,3.8276,1.9231,3.1878,-0.157,0.114,0.321,0.188,0.391,7.03E-01,3.32E-02,3.43E-03
2.5739291,3.8179,1.916,3.1561,-0.137,0.105,0.35,0.205,0.423,6.75E-01,3.19E-02,3.29E-03
2.5742614,3.8083,1.9077,3.1261,-0.114,0.106,0.381,0.221,0.455,6.61E-01,3.12E-02,3.23E-03
2.5745904,3.7987,1.8975,3.0979,-0.085,0.114,0.416,0.237,0.487,6.51E-01,3.07E-02,3.18E-03
2.5749126,3.7891,1.8859,3.0712,-0.051,0.127,0.452,0.253,0.519,6.57E-01,3.10E-02,3.20E-03
2.5752473,3.7795,1.8711,3.0476,-0.006,0.144,0.49,0.27,0.552,6.93E-01,3.27E-02,3.38E-03
2.5756056,3.7701,1.8514,3.0298,0.054,0.165,0.53,0.286,0.584,7.28E-01,3.43E-02,3.54E-03
2.5759748,3.7607,1.8262,3.0175,0.131,0.196,0.571,0.303,0.615,7.47E-01,3.52E-02,3.64E-03
2.5763528,3.7516,1.7936,3.0137,0.23,0.233,0.613,0.32,0.647,7.50E-01,3.53E-02,3.65E-03
2.5767247,3.7428,1.755,3.0172,0.347,0.274,0.653,0.338,0.678,7.54E-01,3.55E-02,3.66E-03
2.5771067,3.7341,1.7123,3.0252,0.476,0.315,0.691,0.356,0.711,7.80E-01,3.68E-02,3.79E-03
2.5775051,3.7253,1.6714,3.0309,0.605,0.362,0.729,0.374,0.743,8.44E-01,3.97E-02,4.10E-03
2.5779507,3.7162,1.6418,3.0242,0.708,0.416,0.768,0.394,0.778,9.91E-01,4.66E-02,4.81E-03
2.5784959,3.7066,1.6451,2.9826,0.734,0.479,0.809,0.414,0.813,1.15E+00,5.42E-02,5.59E-03
2.5791029,3.6982,1.69,2.9042,0.652,0.535,0.846,0.431,0.844,1.26E+00,5.95E-02,6.12E-03
2.5797605,3.6911,1.7555,2.8104,0.517,0.584,0.879,0.445,0.871,1.34E+00,6.30E-02,6.49E-03
2.5804445,3.6846,1.8275,2.7125,0.367,0.631,0.91,0.458,0.895,1.38E+00,6.48E-02,6.67E-03
2.5811405,3.6786,1.9034,2.6127,0.208,0.676,0.94,0.471,0.918,1.37E+00,6.41E-02,6.59E-03
2.5818096,3.6726,1.979,2.5132,0.053,0.724,0.971,0.485,0.942,1.33E+00,6.24E-02,6.41E-03
2.5824705,3.6667,2.0552,2.4136,-0.102,0.775,1.002,0.499,0.967,1.33E+00,6.21E-02,6.39E-03
2.5831353,3.6608,2.1324,2.3129,-0.256,0.828,1.037,0.515,0.995,1.30E+00,6.10E-02,6.27E-03
2.5837734,3.6551,2.2099,2.2127,-0.409,0.882,1.072,0.531,1.023,1.20E+00,5.60E-02,5.76E-03
2.5843324,3.6493,2.2873,2.1122,-0.559,0.941,1.108,0.549,1.053,1.18E+00,5.50E-02,5.65E-03
2.5849485,3.6436,2.3653,2.0115,-0.709,1.007,1.143,0.567,1.085,1.22E+00,5.73E-02,5.87E-03
2.5855565,3.6376,2.441,1.9119,-0.849,1.083,1.177,0.586,1.12,1.20E+00,5.61E-02,5.76E-03
2.5861492,3.6314,2.5159,1.8123,-0.981,1.168,1.212,0.607,1.16,1.19E+00,5.58E-02,5.72E-03
2.5867508,3.6254,2.5914,1.7129,-1.112,1.252,1.247,0.629,1.202,6.02E-01,2.81E-02,2.88E-03
,,,,,,,,,,,
age(Gyr)=,0.800 14,0 points,,,,,,,,,
0.4,3.4649,-1.9385,4.7901,12.889,1.562,1.843,1.471,3.375,3.32E+01,1.19E+02,2.56E+02
0.4332001,3.4918,-1.7974,4.7912,11.95,1.411,1.707,1.278,2.916,6.63E+01,2.07E+02,4.05E+02
0.4662529,3.5187,-1.6553,4.7886,11.112,1.313,1.599,1.133,2.539,6.50E+01,1.71E+02,2.97E+02
0.4982124,3.5455,-1.5125,4.7818,10.309,1.243,1.496,1.005,2.193,7.26E+01,1.61E+02,2.49E+02
0.5388348,3.5721,-1.3658,4.7756,9.539,1.233,1.415,0.919,1.883,8.19E+01,1.53E+02,2.09E+02
0.5801237,3.5987,-1.218,4.7662,8.839,1.232,1.326,0.844,1.631,9.17E+01,1.43E+02,1.72E+02
0.6305254,3.6239,-1.0603,4.7455,8.195,1.2,1.232,0.767,1.435,1.09E+02,1.40E+02,1.47E+02
0.6895442,3.6478,-0.8929,4.7126,7.586,1.094,1.143,0.69,1.274,1.23E+02,1.28E+02,1.16E+02
0.7530941,3.6709,-0.7266,4.677,7.015,0.926,1.052,0.614,1.134,1.29E+02,1.10E+02,8.64E+01
0.8189003,3.6938,-0.5603,4.6387,6.469,0.712,0.958,0.541,1.006,7.85E+01,5.69E+01,4.00E+01
0.8315533,3.6978,-0.5303,4.6313,6.375,0.676,0.941,0.529,0.986,2.52E+01,1.70E+01,1.13E+01
0.8441473,3.7018,-0.5003,4.6238,6.28,0.641,0.924,0.518,0.965,2.52E+01,1.64E+01,1.06E+01
0.8567559,3.7058,-0.4704,4.6164,6.187,0.606,0.906,0.506,0.945,2.52E+01,1.58E+01,1.00E+01
0.8693709,3.7098,-0.4404,4.6087,6.093,0.571,0.888,0.494,0.926,2.52E+01,1.53E+01,9.46E+00
0.8819631,3.7138,-0.4104,4.601,6.001,0.535,0.87,0.483,0.906,2.52E+01,1.47E+01,8.91E+00
0.8945375,3.7178,-0.3804,4.5931,5.908,0.5,0.852,0.471,0.887,2.56E+01,1.45E+01,8.55E+00
0.9075205,3.7218,-0.3506,4.5856,5.818,0.466,0.834,0.46,0.869,2.62E+01,1.43E+01,8.26E+00
0.920689,3.7257,-0.3213,4.5781,5.73,0.433,0.816,0.449,0.851,2.64E+01,1.40E+01,7.88E+00
0.9339242,3.7297,-0.2919,4.5709,5.642,0.4,0.798,0.439,0.833,2.64E+01,1.35E+01,7.43E+00
0.9470501,3.7337,-0.2627,4.5638,5.555,0.369,0.78,0.428,0.815,2.64E+01,1.31E+01,7.03E+00
0.9603299,3.7377,-0.2332,4.5563,5.469,0.339,0.762,0.418,0.798,2.64E+01,1.27E+01,6.66E+00
0.973485,3.7416,-0.2038,4.5485,5.385,0.311,0.744,0.408,0.781,2.63E+01,1.22E+01,6.27E+00
0.9866222,3.7456,-0.1743,4.5408,5.3,0.283,0.726,0.399,0.764,2.63E+01,1.18E+01,5.94E+00
0.9997687,3.7496,-0.1449,4.5331,5.216,0.255,0.708,0.389,0.747,2.78E+01,1.21E+01,5.96E+00
1.0144345,3.7533,-0.1146,4.5239,5.13,0.229,0.69,0.381,0.732,2.95E+01,1.24E+01,5.96E+00
1.0292335,3.757,-0.0842,4.5146,5.046,0.204,0.673,0.372,0.717,2.94E+01,1.20E+01,5.62E+00
1.0438697,3.7607,-0.054,4.5054,4.962,0.181,0.656,0.364,0.703,2.94E+01,1.16E+01,5.31E+00
1.0586426,3.7644,-0.0234,4.4957,4.878,0.159,0.639,0.355,0.688,2.94E+01,1.12E+01,5.02E+00
1.0732898,3.7681,0.0069,4.4861,4.795,0.139,0.622,0.347,0.674,2.94E+01,1.08E+01,4.75E+00
1.0880441,3.7718,0.0375,4.4763,4.712,0.121,0.605,0.339,0.659,3.00E+01,1.07E+01,4.58E+00
1.1032669,3.7754,0.0685,4.4657,4.629,0.104,0.59,0.332,0.645,3.22E+01,1.11E+01,4.65E+00
1.1202238,3.7788,0.1003,4.4541,4.544,0.09,0.575,0.324,0.632,3.40E+01,1.14E+01,4.63E+00
1.137298,3.7821,0.1322,4.442,4.459,0.077,0.561,0.317,0.62,3.42E+01,1.10E+01,4.38E+00
1.1544057,3.7855,0.1639,4.4304,4.376,0.064,0.546,0.31,0.607,3.41E+01,1.06E+01,4.12E+00
1.171434,3.7889,0.1951,4.4191,4.294,0.051,0.532,0.304,0.595,3.41E+01,1.03E+01,3.89E+00
1.1885475,3.7924,0.2262,4.4083,4.212,0.039,0.517,0.297,0.582,3.47E+01,1.01E+01,3.72E+00
1.2060872,3.7957,0.2576,4.3965,4.13,0.029,0.504,0.29,0.57,3.55E+01,9.96E+00,3.60E+00
1.2240702,3.7991,0.2888,4.3853,4.048,0.02,0.49,0.284,0.558,3.62E+01,9.82E+00,3.46E+00
1.2423172,3.8024,0.3207,4.3731,3.965,0.014,0.477,0.277,0.546,3.64E+01,9.51E+00,3.27E+00
1.2604241,3.8057,0.3524,4.3608,3.883,0.009,0.464,0.271,0.534,3.60E+01,9.11E+00,3.06E+00
1.2783346,3.8091,0.3839,4.3491,3.801,0.005,0.451,0.264,0.522,3.59E+01,8.79E+00,2.88E+00
1.2963634,3.8124,0.4154,4.3369,3.719,0.003,0.439,0.258,0.51,3.75E+01,8.87E+00,2.84E+00
1.3158019,3.8156,0.4469,4.3246,3.637,0.002,0.428,0.252,0.499,3.92E+01,8.96E+00,2.80E+00
1.3355621,3.8189,0.4782,4.313,3.556,0.002,0.416,0.246,0.487,3.99E+01,8.81E+00,2.69E+00
1.3557369,3.8221,0.5101,4.3004,3.474,0.004,0.406,0.24,0.475,4.03E+01,8.58E+00,2.55E+00
1.3758277,3.8253,0.542,4.2877,3.391,0.006,0.395,0.234,0.464,4.02E+01,8.28E+00,2.40E+00
1.3959405,3.8285,0.5739,4.2749,3.309,0.009,0.384,0.228,0.452,4.09E+01,8.13E+00,2.31E+00
1.4166987,3.8318,0.604,4.2644,3.231,0.012,0.374,0.221,0.441,4.17E+01,8.01E+00,2.22E+00
1.4376291,3.8352,0.6338,4.2546,3.154,0.016,0.363,0.215,0.429,4.20E+01,7.80E+00,2.11E+00
1.4587344,3.8386,0.6638,4.2445,3.077,0.021,0.353,0.209,0.417,4.27E+01,7.65E+00,2.02E+00
1.480297,3.8418,0.6944,4.2331,2.998,0.025,0.343,0.203,0.405,4.33E+01,7.50E+00,1.93E+00
1.5020053,3.8451,0.725,4.222,2.919,0.03,0.333,0.197,0.394,4.22E+01,7.07E+00,1.78E+00
1.5225009,3.8488,0.7516,4.2161,2.85,0.036,0.322,0.191,0.381,4.13E+01,6.70E+00,1.65E+00
1.543284,3.8524,0.7785,4.2095,2.781,0.043,0.312,0.184,0.368,4.19E+01,6.59E+00,1.58E+00
1.5644099,3.856,0.806,4.2023,2.71,0.051,0.301,0.178,0.356,4.27E+01,6.50E+00,1.53E+00
1.585972,3.8595,0.8342,4.194,2.637,0.06,0.291,0.171,0.344,4.34E+01,6.39E+00,1.47E+00
1.6077908,3.863,0.8619,4.1863,2.566,0.07,0.281,0.165,0.331,4.43E+01,6.33E+00,1.42E+00
1.6302887,3.8665,0.8891,4.1791,2.496,0.079,0.271,0.159,0.319,4.56E+01,6.30E+00,1.38E+00
1.6533783,3.87,0.9173,4.171,2.424,0.088,0.262,0.153,0.307,4.63E+01,6.18E+00,1.33E+00
1.6765417,3.8734,0.9455,4.1624,2.353,0.095,0.252,0.146,0.295,4.74E+01,6.13E+00,1.29E+00
1.7007837,3.8767,0.9752,4.1522,2.277,0.102,0.242,0.14,0.284,4.95E+01,6.20E+00,1.27E+00
1.7260845,3.8799,1.0045,4.1421,2.204,0.108,0.233,0.135,0.273,5.11E+01,6.17E+00,1.23E+00
1.7518334,3.8831,1.0347,4.1311,2.127,0.115,0.223,0.129,0.261,5.24E+01,6.11E+00,1.19E+00
1.7784526,3.8861,1.066,4.1184,2.049,0.122,0.214,0.123,0.251,5.42E+01,6.10E+00,1.16E+00
1.8060429,3.889,1.0983,4.1044,1.967,0.127,0.205,0.117,0.241,5.69E+01,6.18E+00,1.15E+00
1.8353562,3.8918,1.1313,4.0895,1.885,0.133,0.197,0.112,0.231,6.01E+01,6.28E+00,1.13E+00
1.8661291,3.8943,1.1661,4.072,1.797,0.137,0.188,0.107,0.222,6.29E+01,6.32E+00,1.11E+00
1.8982261,3.8966,1.2028,4.0519,1.705,0.142,0.181,0.103,0.214,6.92E+01,6.67E+00,1.14E+00
1.9352945,3.8984,1.2432,4.0271,1.603,0.145,0.174,0.099,0.207,7.81E+01,7.20E+00,1.19E+00
1.9762853,3.8997,1.2883,3.9963,1.489,0.149,0.168,0.095,0.201,8.86E+01,7.78E+00,1.24E+00
2.0239426,3.8999,1.3404,3.9553,1.357,0.154,0.164,0.094,0.198,8.95E+01,7.45E+00,1.15E+00
2.0657736,3.8987,1.3861,3.9137,1.239,0.158,0.163,0.094,0.2,7.58E+01,6.02E+00,8.96E-01
2.0997665,3.8965,1.4234,3.8747,1.142,0.161,0.166,0.096,0.204,6.46E+01,4.93E+00,7.13E-01
2.1303772,3.8936,1.4549,3.8379,1.059,0.162,0.171,0.099,0.211,5.68E+01,4.19E+00,5.92E-01
2.156535,3.8901,1.4817,3.8024,0.988,0.163,0.178,0.104,0.22,4.88E+01,3.50E+00,4.84E-01
2.1791768,3.8862,1.5049,3.7681,0.926,0.162,0.186,0.109,0.231,4.24E+01,2.97E+00,4.04E-01
2.1989684,3.8819,1.5249,3.7348,0.873,0.161,0.196,0.115,0.243,3.87E+01,2.65E+00,3.55E-01
2.2178562,3.8774,1.5427,3.7028,0.825,0.159,0.207,0.121,0.255,3.57E+01,2.39E+00,3.16E-01
2.2346408,3.8726,1.5582,3.6713,0.784,0.156,0.218,0.128,0.269,3.23E+01,2.13E+00,2.78E-01
2.2501406,3.8676,1.5724,3.6401,0.746,0.151,0.231,0.136,0.283,3.00E+01,1.94E+00,2.51E-01
2.2646207,3.8626,1.5858,3.6095,0.711,0.143,0.243,0.143,0.298,2.87E+01,1.83E+00,2.34E-01
2.2788723,3.8576,1.5996,3.5784,0.676,0.134,0.256,0.15,0.312,3.06E+01,1.93E+00,2.43E-01
2.295251,3.853,1.6183,3.5445,0.628,0.127,0.267,0.157,0.326,2.99E+01,1.85E+00,2.31E-01
2.3088052,3.8564,1.6449,3.534,0.559,0.137,0.256,0.151,0.314,1.76E+01,1.07E+00,1.33E-01
2.3128157,3.8617,1.6596,3.5413,0.522,0.15,0.241,0.142,0.296,6.06E+00,3.68E-01,4.54E-02
2.3148614,3.8671,1.6713,3.5515,0.493,0.161,0.225,0.133,0.279,3.19E+00,1.93E-01,2.38E-02
2.3160063,3.8725,1.6818,3.5629,0.467,0.169,0.21,0.124,0.263,1.92E+00,1.16E-01,1.43E-02
2.3167831,3.878,1.6921,3.5747,0.443,0.174,0.195,0.115,0.246,1.32E+00,7.98E-02,9.82E-03
2.3173261,3.8834,1.7027,3.5858,0.418,0.178,0.179,0.107,0.23,9.39E-01,5.68E-02,6.98E-03
2.317722,3.8888,1.7134,3.5968,0.395,0.182,0.164,0.098,0.214,6.89E-01,4.16E-02,5.11E-03
2.3180146,3.8942,1.7249,3.6069,0.37,0.185,0.149,0.09,0.198,5.28E-01,3.19E-02,3.92E-03
2.3182502,3.8996,1.7367,3.6168,0.346,0.186,0.134,0.082,0.183,3.95E-01,2.39E-02,2.93E-03
2.3184098,3.9049,1.7499,3.6248,0.318,0.184,0.12,0.074,0.168,3.13E-01,1.89E-02,2.32E-03
2.3185631,3.9103,1.763,3.6333,0.293,0.18,0.105,0.066,0.154,3.20E-01,1.93E-02,2.37E-03
2.3187299,3.9157,1.7752,3.6428,0.272,0.172,0.092,0.059,0.14,3.06E-01,1.85E-02,2.27E-03
2.3188694,3.9148,1.7695,3.6449,0.285,0.174,0.094,0.06,0.142,2.57E-01,1.55E-02,1.90E-03
2.3189868,3.9096,1.7518,3.6418,0.32,0.18,0.108,0.067,0.156,2.05E-01,1.23E-02,1.52E-03
2.3190739,3.9041,1.7452,3.6264,0.329,0.185,0.122,0.075,0.171,1.70E-01,1.03E-02,1.26E-03
2.3191572,3.8986,1.74,3.6097,0.336,0.186,0.136,0.083,0.186,1.79E-01,1.08E-02,1.32E-03
2.3192526,3.8931,1.7385,3.5892,0.334,0.186,0.15,0.091,0.201,2.04E-01,1.23E-02,1.51E-03
2.3193608,3.8876,1.7411,3.5646,0.323,0.184,0.165,0.099,0.216,2.36E-01,1.43E-02,1.75E-03
2.3194889,3.8821,1.7442,3.5395,0.311,0.182,0.179,0.107,0.231,2.70E-01,1.63E-02,2.00E-03
2.3196312,3.8766,1.7477,3.514,0.299,0.179,0.194,0.115,0.247,2.95E-01,1.78E-02,2.19E-03
2.3197842,3.8711,1.751,3.4888,0.289,0.175,0.209,0.123,0.263,3.40E-01,2.05E-02,2.51E-03
2.3199707,3.8655,1.7528,3.4646,0.283,0.168,0.224,0.132,0.279,3.83E-01,2.31E-02,2.83E-03
2.3201668,3.86,1.7541,3.4413,0.278,0.157,0.239,0.14,0.296,4.09E-01,2.47E-02,3.03E-03
2.3203799,3.8545,1.7548,3.4187,0.276,0.146,0.254,0.149,0.313,4.51E-01,2.72E-02,3.33E-03
2.3206178,3.849,1.7542,3.3973,0.277,0.134,0.269,0.158,0.33,4.78E-01,2.88E-02,3.53E-03
2.3208579,3.8435,1.7535,3.3761,0.278,0.126,0.285,0.167,0.348,4.85E-01,2.92E-02,3.58E-03
2.3211023,3.8379,1.7522,3.355,0.281,0.117,0.3,0.176,0.366,6.78E-01,4.08E-02,5.00E-03
2.3215355,3.8288,1.7484,3.3225,0.291,0.102,0.326,0.191,0.395,8.66E-01,5.21E-02,6.39E-03
2.3219683,3.8196,1.7442,3.29,0.303,0.093,0.352,0.207,0.425,8.70E-01,5.24E-02,6.41E-03
2.3224057,3.8104,1.7381,3.2594,0.321,0.092,0.382,0.222,0.456,8.84E-01,5.32E-02,6.51E-03
2.3228527,3.8012,1.7298,3.2309,0.345,0.1,0.413,0.238,0.486,8.96E-01,5.39E-02,6.60E-03
2.3233019,3.7921,1.7209,3.2035,0.371,0.112,0.447,0.253,0.516,9.98E-01,6.00E-02,7.34E-03
2.3238504,3.783,1.7032,3.1849,0.422,0.127,0.482,0.269,0.547,1.15E+00,6.91E-02,8.46E-03
2.324453,3.7741,1.6804,3.1722,0.489,0.146,0.519,0.284,0.578,1.10E+00,6.61E-02,8.08E-03
